worker_id,name,phone,state,role,seniority,registered_on
W0037,Meena Shah,9493618324,UP,Field Surveyor,junior,2025-01-05
W0038,Naresh Kumari,9488771906,UP,Data Entry,junior,2025-01-05
W0039,Sita Iyer,9742967175,MH,Field Surveyor,junior,2025-01-05
W0040,Vikas Naidu,9451680876,MH,Crop Inspector,junior,2025-01-05
W0041,Sita Naidu,9710932480,MH,Crop Inspector,junior,2025-01-05
W0042,Renu Patel,9378263982,UP,Crop Inspector,senior,2025-01-05
W0043,Reena Iyer,9755886753,UP,Field Surveyor,junior,2025-01-05
W0044,Ankit Devi,9289517187,MH,Crop Inspector,senior,2025-01-05
W0045,Sumit Nair,9586578091,UP,Data Entry,junior,2025-01-05
W0046,Sanjay Pandey,9045562386,UP,Field Surveyor,junior,2025-01-05
W0047,Vimala Verma,9740748217,MH,Crop Inspector,junior,2025-01-05
W0048,Kamala Shah,9640909743,UP,Field Surveyor,senior,2025-01-05
W0049,Ganesh Singh,9521456232,UP,Crop Inspector,junior,2025-01-05
W0050,Dinesh Verma,9685160481,MH,Data Entry,junior,2025-01-05
W0051,Pooja Kumar,9174612004,UP,Data Entry,junior,2025-01-05
W0052,Vinod Iyer,9796405377,MH,Crop Inspector,junior,2025-01-05
W0053,Shanti Kumar,9293183933,MH,Crop Inspector,junior,2025-01-05
W0054,Geeta Pandey,9205395024,MH,Data Entry,senior,2025-01-05
W0055,Renu Iyer,9908470076,MH,Crop Inspector,junior,2025-01-05
W0056,Jignesh Yadav,9985698478,MH,Crop Inspector,junior,2025-01-05
W0057,Vijay Kumari,9766156545,MH,Crop Inspector,junior,2025-01-05
W0058,Mohit Verma,9851656049,MH,Data Entry,senior,2025-01-05
W0059,Rohit Naidu,9936899809,UP,Field Surveyor,junior,2025-01-05
W0060,Sunita Verma,9018366752,UP,Field Surveyor,junior,2025-01-05
W0061,Priya Nair,9767976438,MH,Data Entry,junior,2025-01-05
W0062,Mahesh Tiwari,9343244510,UP,Data Entry,junior,2025-01-05
W0063,Rohit Yadav,9071596966,UP,Data Entry,junior,2025-01-05
W0064,Mukesh Bai,9681645352,MH,Field Surveyor,junior,2025-01-05
W0065,Sarita Sharma,9921277997,MH,Crop Inspector,junior,2025-01-05
W0066,Sanjay Singh,9119986798,MH,Crop Inspector,senior,2025-01-05
W0067,Rakesh Kumari,9182037788,MH,Crop Inspector,senior,2025-01-05
W0068,Sumit Yadav,9644925192,UP,Field Surveyor,junior,2025-01-05
W0069,Ankit Gupta,9816850542,MH,Data Entry,junior,2025-01-05
W0070,Ganesh Reddy,9929622292,MH,Data Entry,junior,2025-01-05
W0071,Sanjay Tiwari,9735977468,MH,Crop Inspector,senior,2025-01-05
W0072,Pooja Joshi,9141247826,MH,Data Entry,senior,2025-01-05
W0073,Suresh Gupta,9220472779,MH,Data Entry,junior,2025-01-05
W0074,Rakesh Tiwari,9711798089,UP,Data Entry,junior,2025-01-05
W0075,Sunita Yadav,9888806706,UP,Field Surveyor,senior,2025-01-05
W0076,Vimala Gupta,9527722170,MH,Field Surveyor,junior,2025-01-05
W0077,Usha Rao,9345054156,UP,Field Surveyor,junior,2025-01-05
W0078,Asha Patel,9692845115,MH,Data Entry,junior,2025-01-05
W0079,Mahesh Joshi,9016582029,UP,Crop Inspector,junior,2025-01-05
W0080,Mahesh Nair,9557192856,MH,Data Entry,junior,2025-01-05
W0081,Ankit Naidu,9144739473,MH,Field Surveyor,senior,2025-01-05
W0082,Dinesh Naidu,9844225831,MH,Field Surveyor,junior,2025-01-05
W0083,Pushpa Yadav,9146786691,MH,Field Surveyor,junior,2025-01-05
W0084,Sunita Verma,9680182422,MH,Field Surveyor,senior,2025-01-05
W0085,Reena Nair,9818299229,MH,Field Surveyor,junior,2025-01-05
W0086,Kamala Bai,9907844736,MH,Field Surveyor,junior,2025-01-05
W0087,Jignesh Gupta,9556258815,MH,Field Surveyor,senior,2025-01-05
W0088,Sarita Pandey,9595327877,MH,Field Surveyor,junior,2025-01-05
W0089,Meena Rao,9016245650,UP,Data Entry,junior,2025-01-05
W0090,Naresh Verma,9585239868,MH,Data Entry,junior,2025-01-05
W0091,Pushpa Shah,9887947055,UP,Data Entry,junior,2025-01-05
W0092,Pooja Pandey,9309130756,UP,Data Entry,junior,2025-01-05
W0093,Ankit Gupta,9858549733,MH,Data Entry,junior,2025-01-05
W0094,Naresh Iyer,9652404157,UP,Data Entry,senior,2025-01-05
W0095,Lalita Tiwari,9571208267,MH,Data Entry,junior,2025-01-05
W0096,Mahesh Devi,9400499154,UP,Data Entry,junior,2025-01-05
W0097,Ramesh Gupta,9329668516,UP,Crop Inspector,junior,2025-01-05
W0098,Ramesh Patel,9454990453,UP,Crop Inspector,junior,2025-01-05
W0099,Reena Sharma,9332727956,UP,Crop Inspector,junior,2025-01-05
W0100,Shanti Yadav,9519108839,UP,Crop Inspector,junior,2025-01-05
W0101,Kavita Iyer,9870728679,UP,Crop Inspector,junior,2025-01-05
W0102,Vikas Patel,9910651801,MH,Crop Inspector,junior,2025-01-05
W0103,Mohit Devi,9661825128,UP,Crop Inspector,senior,2025-01-05
W0104,Reena Kumari,9337524310,UP,Crop Inspector,junior,2025-01-05
W0105,Dinesh Sharma,9030673830,MH,Crop Inspector,junior,2025-01-05
W0106,Amit Iyer,9283644089,UP,Field Surveyor,junior,2025-01-05
W0107,Manju Singh,9685662462,UP,Field Surveyor,senior,2025-01-05
W0108,Jignesh Kumari,9688263435,MH,Field Surveyor,junior,2025-01-05
W0109,Anita Singh,9990139837,UP,Data Entry,junior,2025-01-05
W0110,Naresh Rao,9363854678,MH,Data Entry,junior,2025-01-05
W0111,Ganesh Rao,9556093204,UP,Data Entry,senior,2025-01-05
W0112,Kamala Tiwari,9547772522,UP,Data Entry,junior,2025-01-05
W0113,Asha Singh,9509977008,MH,Data Entry,junior,2025-01-05
W0114,Lakshmi Bai,9062312038,MH,Field Surveyor,junior,2025-01-05
W0115,Sunita Sharma,9793341016,MH,Data Entry,junior,2025-01-05
W0116,Ankit Devi,9398454615,UP,Field Surveyor,junior,2025-01-05
W0117,Mahesh Tiwari,9039261429,MH,Data Entry,senior,2025-01-05
W0118,Sarita Iyer,9740148902,UP,Data Entry,senior,2025-01-05
W0119,Rakesh Sharma,9358662961,UP,Field Surveyor,senior,2025-01-05
W0120,Pushpa Shah,9599965047,MH,Data Entry,junior,2025-01-05
W0121,Mohit Sharma,9610158199,MH,Field Surveyor,senior,2025-01-05
W0122,Amit Devi,9754121267,MH,Crop Inspector,junior,2025-01-05
W0123,Priya Verma,9437993712,UP,Crop Inspector,junior,2025-01-05
W0124,Reena Kumar,9212646471,UP,Crop Inspector,senior,2025-01-05
W0125,Meena Rao,9459375265,MH,Crop Inspector,junior,2025-01-05
W0126,Mohit Sharma,9459375265,MH,Data Entry,junior,2025-01-05
W0127,Dinesh Kumari,9672434266,UP,Data Entry,junior,2025-01-05
W0128,Vinod Naidu,9672434266,UP,Field Surveyor,junior,2025-01-05
W0129,Asha Naidu,9656101438,MH,Crop Inspector,junior,2025-01-05
W0130,Vimala Reddy,9656101438,MH,Field Surveyor,junior,2025-01-05
W0131,Reena Singh,9875717751,MH,Field Surveyor,senior,2025-01-05
W0132,Priya Tiwari,9875717751,MH,Data Entry,junior,2025-01-05
W0133,Sunita Mishra,9033419182,UP,Data Entry,junior,2025-01-05
W0134,Pooja Nair,9155792499,UP,Data Entry,junior,2025-01-05
W0135,Sunita Joshi,9929662782,MH,Data Entry,junior,2025-01-05
W0136,Pooja Joshi,9688767677,MH,Crop Inspector,junior,2025-01-05
W0137,Ramesh Kumar,9713395962,UP,Field Surveyor,junior,2025-01-05
W0138,Ramesh Kumar,9438427978,MH,Crop Inspector,junior,2025-01-05
W0139,Ramesh Kumar,9361340745,MH,Data Entry,senior,2025-01-05
W0140,Rohit Sharma,9958498254,MH,Crop Inspector,junior,2025-01-05
W0141,Renu Sharma,9958498254,MH,Data Entry,junior,2025-01-05
W0142,Hitesh Bai,9042232536,MH,Crop Inspector,junior,2025-01-05
W0143,Mukesh Devi,9845775901,MH,Crop Inspector,junior,2025-01-05
W0144,Manju Patel,9545892975,MH,Crop Inspector,junior,2025-01-05
W0145,Sanjay Kumari,9063242415,MH,Crop Inspector,junior,2025-01-05
W0146,Lalita Bai,9110371293,MH,Crop Inspector,senior,2025-01-05
W0147,Hitesh Rao,9136111554,MH,Crop Inspector,senior,2025-01-05
W0148,Kamala Kumar,9753269731,MH,Data Entry,junior,2025-01-05
W0149,Ankit Joshi,9234138999,MH,Crop Inspector,junior,2025-01-05
W0150,Kavita Reddy,9640376137,MH,Data Entry,junior,2025-01-05
W0151,Hitesh Devi,9827109104,MH,Data Entry,junior,2025-01-05
W0152,Meena Reddy,9618892414,MH,Crop Inspector,junior,2025-01-05
W0153,Amit Devi,9146303161,MH,Data Entry,junior,2025-01-05
W0154,Sunita Sharma,9020275884,MH,Field Surveyor,junior,2025-01-05
W0155,Sita Sharma,9056481491,MH,Field Surveyor,junior,2025-01-05
W0156,Mohit Singh,9241913800,UP,Data Entry,junior,2025-01-05
W0157,Sunita Singh,9654195180,UP,Field Surveyor,junior,2025-01-05
W0158,Ajay Shah,9705349493,UP,Crop Inspector,junior,2025-01-05
W0159,Sarita Verma,9850506413,MH,Crop Inspector,junior,2025-01-05
W0160,Mukesh Singh,9571918261,MH,Data Entry,junior,2025-01-05
W0161,Geeta Gupta,9557431329,UP,Data Entry,senior,2025-01-05
W0162,Priya Kumari,9853747411,UP,Crop Inspector,junior,2025-01-05
